Report Id,Policy Regime,Financial period start date,Start date,End date,Filing date,Company,Company number,Qualifying contracts in reporting period,Payments made in reporting period,Qualifying construction contracts in reporting period,Construction contracts have retention clauses,Average time to pay,Total value invoices paid within 30 days,Total value invoices paid between 31 and 60 days,Total value invoices paid later than 60 days,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,Total value invoices paid later than agreed terms,% Invoices not paid within agreed terms,% Invoices not paid due to dispute,Shortest (or only) standard payment period,Longest standard payment period,Standard payment terms,Payment terms have changed,Suppliers notified of changes,Maximum contractual payment period,Maximum contractual payment period information,Other information payment terms,Retention clauses included in all construction contracts,Retention clauses included in standard payment terms,Retention clauses are used in specific circumstances,Description of specific circumstances for retention clauses,Retention clauses used above a specific sum,Value above which retention clauses are used,Retention clauses are at a standard rate,Retention clauses standard rate percentage,Retention clauses have parity with client,Description of parity policy,Retention clause money release description,Retention clause money release is staged,Description of stages for money release,Retention value compared to client retentions as %,Retention value compared to total payments as %,Dispute resolution process,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list,URL
2,Regime-1,None,4/29/2017,10/28/2017,11/7/2017,MEDTRONIC LIMITED,01070807,TRUE,FALSE,FALSE,FALSE,25,,,,77,20,3,0,89,0,30,60,Standard contractual terms for goods and services is 60 days. For Healthcare providers the standard  contractual terms are 30 days. The maximum contractual period is 60 days.,,,60,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The main point of contact for disputes is the Medtronic Accounts Payable Shared Services Centre in Prague. When an invoice is disputed, the supplier will receive an automated email indicating the invoice number and reason for rejection. To resolve a dispute, the supplier is required to provide any missing information or a corrected invoice. Medtronic follow a strictly no PO no pay policy. The PO number is communicated by Medtronic's procurement team at the time of placing the order.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/2
3,Regime-1,None,5/1/2017,10/31/2017,11/8/2017,SEBDEN STEEL SERVICE CENTRES LIMITED,02553464,TRUE,FALSE,FALSE,FALSE,69,,,,7,28,65,0,0,0,30,,75 days from end of month of delivery,,,75,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,Disputes are resolved with their usual contact,No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/3
4,Regime-1,None,4/15/2017,10/14/2017,11/8/2017,GREENERGY FLEXIGRID LIMITED,07581532,TRUE,FALSE,FALSE,FALSE,21,,,,89,9,2,0,47,0,2,30,30 days payment from date of Invoice,,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Individual employees are responsible for disputes relating to invoices assigned to themselves.
Disputes should be resolved to adhere to payment terms.",No,FALSE,FALSE,TRUE,TRUE,https://check-payment-practices.service.gov.uk/report/4
5,Regime-1,None,4/15/2017,10/14/2017,11/8/2017,GREENERGY FUELS LIMITED,04058825,TRUE,FALSE,FALSE,FALSE,14,,,,90,8,2,0,31,0,2,30,30 Days from date of invoice,,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Individual employees are responsible for disputes relating to invoices assigned to themselves.
Disputes should be resolved to adhere to payment terms.",No,FALSE,FALSE,TRUE,TRUE,https://check-payment-practices.service.gov.uk/report/5
6,Regime-1,None,4/15/2017,10/14/2017,11/8/2017,GREENERGY INTERNATIONAL LIMITED,02809935,TRUE,FALSE,FALSE,FALSE,15,,,,96,2,2,0,14,0,2,30,30 Days from date of Invoice,,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Individual employees are responsible for disputes relating to invoices assigned to themselves.
Disputes should be resolved to adhere to payment terms.",No,FALSE,FALSE,TRUE,FALSE,https://check-payment-practices.service.gov.uk/report/6
7,Regime-1,None,4/10/2017,10/9/2017,11/8/2017,MISHCON DE REYA LLP,OC399969,TRUE,FALSE,FALSE,FALSE,44,,,,64,14,22,0,35,0,30,,"Mishcon shall pay the charges for trade suppliers within 30 days of receipt of an accurate and valid VAT invoice, unless agreed otherwise with a trade supplier.  Mishcon shall only be obliged to make payments where Mishcon is satisfied that the work has been performed in accordance with the agreement with the supplier.  
 
The business' standard terms relating to payment for suppliers of disbursement and counsel services are 2 business days from receipt of payment of those costs from our clients, unless agreed otherwise with the supplier.
",,,30,,"Of the payments due in the reporting period which have not been paid within the agreed period, 99% of these relate to disbursement and counsel services, where we pay those suppliers on receipt of payment of those costs by our client in accordance with our standard terms.",FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"If there is a disagreement, Mishcon and the supplier shall negotiate and settle the disagreement.  If there is no settlement within 10 business days, nominated representatives of both parties shall meet to try to resolve the matter.  If the matter is not resolved within 20 business days (or longer as agreed by the parties), the matter may be referred to a meeting between the managing partner and managing director of both parties.  If any such meeting fails to result in a settlement within 20 business days of such referral the matter may be referred to the courts.",No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/7
8,Regime-1,None,4/21/2017,10/5/2017,11/8/2017,CENTER PARCS (HOLDINGS 1) LIMITED,07656429,TRUE,FALSE,FALSE,FALSE,34,,,,21,73,6,0,8,0,30,45,"Center Parcs does not have standard payment terms. Payment terms are agreed with suppliers as part of contract negotiations. The most common payment terms of invoices paid in the period are net 30 days, net 45 days and net monthly (invoices payable on the 28th of the month following) which equated to circa 45 days average.",,,45,"Center Parcs does not have standard payment terms. Payment terms are agreed with suppliers as part of contract negotiations. The most common payment terms of invoices paid in the period are net 30 days, net 45 days and net monthly (invoices payable on the 28th of the month following) which equated to circa 45 days average.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,Disputes are resolved by negotiation involving the relevant parties - accounts payable and credit control departments; procurement and sales teams.,No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/8
9,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,SPIRIT PUB COMPANY (TRENT) LIMITED,05746068,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,"Standard payment terms are 60 days following the end of the month of the invoice date.
",,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/9
10,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,SPIRIT PUB COMPANY (LEASED) LIMITED,05699544,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/10
11,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,SPIRIT PUB COMPANY (MANAGED) LIMITED,05269240,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,230,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/11
