"ProviderTransId","CardId","TransDate","PostingDate","Amount","CurrencyCode","MerchantRaw","MCC","Country","Notes"
"TXN00001","CARD-0001","2026-06-02","2026-06-03","19.63","USD","Contoso Air","4511","US","Sample transaction 1"
"TXN00002","CARD-0002","2026-06-03","2026-06-04","26.76","USD","Fabrikam Hotel","7011","US","Sample transaction 2"
"TXN00003","CARD-0003","2026-06-04","2026-06-05","33.89","USD","Northwind Taxi","4121","US","Sample transaction 3"
"TXN00004","CARD-0004","2026-06-05","2026-06-06","41.02","USD","Adventure Meals","5812","US","Sample transaction 4"
"TXN00005","CARD-0005","2026-06-06","2026-06-07","48.15","USD","Proseware Rail","4112","US","Sample transaction 5"
"TXN00006","CARD-0006","2026-06-07","2026-06-08","55.28","USD","Litware Fuel","5541","US","Sample transaction 6"
"TXN00007","CARD-0001","2026-06-08","2026-06-09","62.41","USD","Tailspin Office","5943","US","Sample transaction 7"
"TXN00008","CARD-0002","2026-06-09","2026-06-10","69.54","USD","Alpine Parking","7523","US","Sample transaction 8"
"TXN00009","CARD-0003","2026-06-10","2026-06-11","76.67","USD","Woodgrove Supplies","5111","US","Sample transaction 9"
"TXN00010","CARD-0004","2026-06-11","2026-06-12","83.8","USD","BlueYonder Travel","4722","US","Sample transaction 10"
"TXN00011","CARD-0005","2026-06-12","2026-06-13","90.93","USD","Contoso Air","4511","US","Sample transaction 11"
"TXN00012","CARD-0006","2026-06-13","2026-06-14","98.06","USD","Fabrikam Hotel","7011","US","Sample transaction 12"
"TXN00013","CARD-0001","2026-06-14","2026-06-15","105.19","USD","Northwind Taxi","4121","US","Sample transaction 13"
"TXN00014","CARD-0002","2026-06-15","2026-06-16","112.32","USD","Adventure Meals","5812","US","Sample transaction 14"
"TXN00015","CARD-0003","2026-06-16","2026-06-17","119.45","USD","Proseware Rail","4112","US","Sample transaction 15"
"TXN00016","CARD-0004","2026-06-17","2026-06-18","126.58","USD","Litware Fuel","5541","US","Sample transaction 16"
"TXN00017","CARD-0005","2026-06-18","2026-06-19","133.71","USD","Tailspin Office","5943","US","Sample transaction 17"
"TXN00018","CARD-0006","2026-06-19","2026-06-20","140.84","USD","Alpine Parking","7523","US","Sample transaction 18"
"TXN00019","CARD-0001","2026-06-20","2026-06-21","147.97","USD","Woodgrove Supplies","5111","US","Sample transaction 19"
"TXN00020","CARD-0002","2026-06-21","2026-06-22","155.1","USD","BlueYonder Travel","4722","US","Sample transaction 20"
"TXN00021","CARD-0003","2026-06-22","2026-06-23","162.23","USD","Contoso Air","4511","US","Sample transaction 21"
"TXN00022","CARD-0004","2026-06-23","2026-06-24","169.36","USD","Fabrikam Hotel","7011","US","Sample transaction 22"
"TXN00023","CARD-0005","2026-06-24","2026-06-25","176.49","USD","Northwind Taxi","4121","US","Sample transaction 23"
"TXN00024","CARD-0006","2026-06-25","2026-06-26","183.62","USD","Adventure Meals","5812","US","Sample transaction 24"
"TXN00025","CARD-0001","2026-06-26","2026-06-27","190.75","USD","Proseware Rail","4112","US","Sample transaction 25"
"TXN00026","CARD-0002","2026-06-27","2026-06-28","197.88","USD","Litware Fuel","5541","US","Sample transaction 26"
"TXN00027","CARD-0003","2026-06-28","2026-06-29","205.01","USD","Tailspin Office","5943","US","Sample transaction 27"
"TXN00028","CARD-0004","2026-06-01","2026-06-02","212.14","USD","Alpine Parking","7523","US","Sample transaction 28"
"TXN00029","CARD-0005","2026-06-02","2026-06-03","219.27","USD","Woodgrove Supplies","5111","US","Sample transaction 29"
"TXN00030","CARD-0006","2026-06-03","2026-06-04","226.4","USD","BlueYonder Travel","4722","US","Sample transaction 30"
"TXN00031","CARD-0001","2026-06-04","2026-06-05","233.53","USD","Contoso Air","4511","US","Sample transaction 31"
"TXN00032","CARD-0002","2026-06-05","2026-06-06","240.66","USD","Fabrikam Hotel","7011","US","Sample transaction 32"
"TXN00033","CARD-0003","2026-06-06","2026-06-07","247.79","USD","Northwind Taxi","4121","US","Sample transaction 33"
"TXN00034","CARD-0004","2026-06-07","2026-06-08","254.92","USD","Adventure Meals","5812","US","Sample transaction 34"
"TXN00035","CARD-0005","2026-06-08","2026-06-09","262.05","USD","Proseware Rail","4112","US","Sample transaction 35"
"TXN00036","CARD-0006","2026-06-09","2026-06-10","269.18","USD","Litware Fuel","5541","US","Sample transaction 36"
"TXN00037","CARD-0001","2026-06-10","2026-06-11","276.31","USD","Tailspin Office","5943","US","Sample transaction 37"
"TXN00038","CARD-0002","2026-06-11","2026-06-12","283.44","USD","Alpine Parking","7523","US","Sample transaction 38"
"TXN00039","CARD-0003","2026-06-12","2026-06-13","290.57","USD","Woodgrove Supplies","5111","US","Sample transaction 39"
"TXN00040","CARD-0004","2026-06-13","2026-06-14","297.7","USD","BlueYonder Travel","4722","US","Sample transaction 40"
"TXN00041","CARD-0005","2026-06-14","2026-06-15","304.83","USD","Contoso Air","4511","US","Sample transaction 41"
"TXN00042","CARD-0006","2026-06-15","2026-06-16","311.96","USD","Fabrikam Hotel","7011","US","Sample transaction 42"
"TXN00043","CARD-0001","2026-06-16","2026-06-17","319.09","USD","Northwind Taxi","4121","US","Sample transaction 43"
"TXN00044","CARD-0002","2026-06-17","2026-06-18","326.22","USD","Adventure Meals","5812","US","Sample transaction 44"
"TXN00045","CARD-0003","2026-06-18","2026-06-19","333.35","USD","Proseware Rail","4112","US","Sample transaction 45"
"TXN00046","CARD-0004","2026-06-19","2026-06-20","340.48","USD","Litware Fuel","5541","US","Sample transaction 46"
"TXN00047","CARD-0005","2026-06-20","2026-06-21","347.61","USD","Tailspin Office","5943","US","Sample transaction 47"
"TXN00048","CARD-0006","2026-06-21","2026-06-22","354.74","USD","Alpine Parking","7523","US","Sample transaction 48"
"TXN00049","CARD-0001","2026-06-22","2026-06-23","361.87","USD","Woodgrove Supplies","5111","US","Sample transaction 49"
"TXN00050","CARD-0002","2026-06-23","2026-06-24","369","USD","BlueYonder Travel","4722","US","Sample transaction 50"
"TXN00051","CARD-0003","2026-06-24","2026-06-25","376.13","USD","Contoso Air","4511","US","Sample transaction 51"
"TXN00052","CARD-0004","2026-06-25","2026-06-26","383.26","USD","Fabrikam Hotel","7011","US","Sample transaction 52"
"TXN00053","CARD-0005","2026-06-26","2026-06-27","390.39","USD","Northwind Taxi","4121","US","Sample transaction 53"
"TXN00054","CARD-0006","2026-06-27","2026-06-28","397.52","USD","Adventure Meals","5812","US","Sample transaction 54"
"TXN00055","CARD-0001","2026-06-28","2026-06-29","15.25","USD","Proseware Rail","4112","US","Sample transaction 55"
"TXN00056","CARD-0002","2026-06-01","2026-06-02","22.38","USD","Litware Fuel","5541","US","Sample transaction 56"
"TXN00057","CARD-0003","2026-06-02","2026-06-03","29.51","USD","Tailspin Office","5943","US","Sample transaction 57"
"TXN00058","CARD-0004","2026-06-03","2026-06-04","36.64","USD","Alpine Parking","7523","US","Sample transaction 58"
"TXN00059","CARD-0005","2026-06-04","2026-06-05","43.77","USD","Woodgrove Supplies","5111","US","Sample transaction 59"
"TXN00060","CARD-0006","2026-06-05","2026-06-06","50.9","USD","BlueYonder Travel","4722","US","Sample transaction 60"
